batch_id,status,class,true_class_cn,confidence,source_path,batch_image_path,batch_label_path,selected_at,annotated_at,notes
batch_001,annotated,transverse_bump,横条压凹,0.999391,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\The transverse strip is dented\横条压凹20180903102213对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\transverse_bump__横条压凹20180903102213对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\labels\transverse_bump__横条压凹20180903102213对照样本.txt,2026-06-22T15:15:30,2026-06-22T15:15:30,bootstrapped from selection_manifest.csv
batch_001,annotated,transverse_bump,横条压凹,0.998883,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\The transverse strip is dented\横条压凹20180903105306对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\transverse_bump__横条压凹20180903105306对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\labels\transverse_bump__横条压凹20180903105306对照样本.txt,2026-06-22T15:15:30,2026-06-22T15:15:30,bootstrapped from selection_manifest.csv
batch_001,annotated,transverse_bump,横条压凹,0.998068,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\The transverse strip is dented\横条压凹20180903104458对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\transverse_bump__横条压凹20180903104458对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\labels\transverse_bump__横条压凹20180903104458对照样本.txt,2026-06-22T15:15:30,2026-06-22T15:15:30,bootstrapped from selection_manifest.csv
batch_001,annotated,transverse_bump,横条压凹,0.997544,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\The transverse strip is dented\横条压凹20180903110022对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\transverse_bump__横条压凹20180903110022对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\labels\transverse_bump__横条压凹20180903110022对照样本.txt,2026-06-22T15:15:30,2026-06-22T15:15:30,bootstrapped from selection_manifest.csv
batch_001,annotated,transverse_bump,横条压凹,0.997527,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\The transverse strip is dented\横条压凹20180903104948对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\transverse_bump__横条压凹20180903104948对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\labels\transverse_bump__横条压凹20180903104948对照样本.txt,2026-06-22T15:15:30,2026-06-22T15:15:30,bootstrapped from selection_manifest.csv
batch_001,annotated,transverse_bump,横条压凹,0.997154,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\The transverse strip is dented\横条压凹20180903102226对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\transverse_bump__横条压凹20180903102226对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\labels\transverse_bump__横条压凹20180903102226对照样本.txt,2026-06-22T15:15:30,2026-06-22T15:15:30,bootstrapped from selection_manifest.csv
batch_001,annotated,transverse_bump,横条压凹,0.992816,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\The transverse strip is dented\横条压凹20180903102613对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\transverse_bump__横条压凹20180903102613对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\labels\transverse_bump__横条压凹20180903102613对照样本.txt,2026-06-22T15:15:30,2026-06-22T15:15:30,bootstrapped from selection_manifest.csv
batch_001,annotated,transverse_bump,横条压凹,0.988427,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\The transverse strip is dented\横条压凹20180903110518对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\transverse_bump__横条压凹20180903110518对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\labels\transverse_bump__横条压凹20180903110518对照样本.txt,2026-06-22T15:15:30,2026-06-22T15:15:30,bootstrapped from selection_manifest.csv
batch_001,annotated,stain,脏点,0.955965,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Dirty spot\脏点20180910094151对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\stain__脏点20180910094151对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\labels\stain__脏点20180910094151对照样本.txt,2026-06-22T15:15:30,2026-06-22T15:15:30,bootstrapped from selection_manifest.csv
batch_001,annotated,stain,脏点,0.935192,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Dirty spot\脏点20180910095826对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\stain__脏点20180910095826对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\labels\stain__脏点20180910095826对照样本.txt,2026-06-22T15:15:30,2026-06-22T15:15:30,bootstrapped from selection_manifest.csv
